111,110,156
112,116,159
113,114,161
114,111,161
114,115,158
112,113,158
114,118,166
117,123,165
117,119,161
111,110,156
112,116,159
113,114,161
114,111,161
114,115,158
112,113,158
114,118,166
117,123,165
117,119,161
120,127,174
120,124,171
118,123,171
118,122,172
116,122,169
115,121,169
118,125,174
119,129,170
119,121,166
120,127,174
120,124,171
118,123,171
118,122,172
116,122,169
115,121,169
118,125,174
119,129,170
119,121,166
124,138,179
120,127,172
119,122,172
119,126,176
118,128,173
119,129,175
121,131,179
120,129,175
118,119,169
124,129,177
120,123,170
118,120,172
118,125,172
119,126,169
120,129,174
121,129,179
119,126,175
115,120,168
124,129,177
120,123,170
118,120,172
118,125,172
119,126,169
120,129,174
121,129,179
119,126,175
115,120,168
124,127,177
120,121,169
118,120,169
119,125,169
119,125,171
119,123,169
117,121,170
115,120,167
114,119,162
124,127,177
120,121,169
118,120,169
119,125,169
119,125,171
119,123,169
117,121,170
115,120,167
114,119,162
