135,150,197
136,151,198
136,151,198
132,151,195
128,145,188
128,142,193
131,146,197
132,148,201
134,149,202
131,144,196
129,143,192
131,149,194
130,146,194
129,138,184
128,136,183
129,142,190
132,148,202
136,157,208
140,159,215
141,157,220
140,159,221
142,159,222
139,153,221
134,147,217
128,146,206
128,142,197
128,140,193
131,147,194
133,147,205
134,152,206
137,154,208
139,159,210
138,162,214
141,158,216
141,166,220
141,165,225
140,163,224
140,162,223
140,163,225
138,161,228
140,162,228
141,163,224
140,161,220
137,159,215
134,155,211
132,149,208
131,143,202
130,139,195
132,146,200
135,150,201
135,153,204
135,150,205
135,148,209
134,152,206
135,148,196
135,146,192
134,148,194
132,143,187
126,131,170
119,118,154
117,121,163
124,134,177
130,143,182
131,148,188
129,140,185
128,136,179
123,127,170
116,123,165
115,120,157
116,118,148
113,117,143
112,113,136
110,112,133
111,112,133
114,119,140
117,123,145
110,117,141
110,115,147
119,126,164
123,131,174
122,132,179
124,136,179
124,137,177
123,134,175
123,135,177
122,131,177
124,132,180
126,139,184
124,135,189
125,135,184
128,140,188
128,144,197
129,142,197
128,141,197
131,148,204
134,149,203
135,153,202
133,150,199
131,145,193
125,141,190
124,135,187
123,135,184
120,128,180
119,133,182
122,136,183
125,132,182
125,131,183
121,129,176
116,126,173
116,123,167
119,123,169
119,124,171
116,122,167
117,124,172
119,124,177
119,126,179
118,126,174
119,125,171
120,130,179
126,135,187
128,140,190
126,142,196
127,144,197
131,148,198
133,148,202
133,147,201
135,153,212
138,150,207
133,144,203
131,143,201
133,145,200
135,148,202
139,155,206
147,169,221
154,187,234
162,193,239
156,180,229
152,175,222
145,166,215
142,163,204
139,154,197
133,148,196
133,145,193
132,144,190
128,138,185
124,131,176
124,130,168
122,130,164
123,128,166
127,132,170
124,128,164
118,120,160
116,111,150
112,116,149
121,136,164
127,137,174
130,142,185
131,142,195
131,142,201
128,138,208
127,129,213
123,123,207
123,125,206
128,131,197
127,126,190
126,127,196
142,145,208
148,159,204
139,150,193
127,135,175
121,126,166
127,133,164
144,151,180
151,156,190
137,136,174
133,135,168
137,140,171
128,129,164
117,109,159
116,108,179
125,123,188
138,141,182
148,154,181
154,157,186
151,155,188
141,144,180
130,130,170
127,131,169
132,133,168
137,138,170
138,147,173
150,154,182
143,139,180
132,134,182
142,152,200
153,170,212
148,166,210
144,170,209
142,163,200
141,149,188
141,148,180
142,146,177
145,144,178
146,153,187
145,158,189
146,162,197
140,148,178
125,123,148
119,114,134
119,123,141
132,144,167
144,158,193
142,153,197
140,152,200
151,171,219
158,186,235
163,189,237
164,191,238
162,184,229
155,169,210
150,154,197
140,139,188
120,108,195
106,93,198
102,87,200
98,82,186
97,81,176
98,83,203
102,92,240
105,95,247
106,98,214
107,99,184
105,100,182
107,102,194
106,90,211
105,96,220
111,105,217
119,120,219
122,122,232
114,104,221
105,93,213
103,89,212
105,90,216
103,90,214
101,90,203
102,94,203
104,91,213
104,94,220
104,96,217
109,98,215
121,117,220
138,142,227
132,136,219
123,120,213
122,127,223
131,145,228
142,164,227
153,179,239
159,185,243
163,186,238
159,177,228
150,163,210
142,151,193
140,141,187
