123,122,158
120,119,161
118,116,164
117,112,177
117,114,191
109,102,200
104,92,207
102,87,212
102,87,211
101,88,205
103,85,199
101,85,201
101,86,204
102,87,203
101,87,198
101,87,197
103,94,199
101,91,195
105,90,195
104,90,195
102,96,193
103,98,191
106,97,189
105,96,190
101,90,195
99,86,198
98,83,200
98,82,203
101,84,199
101,88,187
101,91,190
101,88,190
103,89,186
103,90,191
102,87,191
104,91,188
107,94,184
105,91,180
103,90,182
103,91,186
102,93,184
102,88,191
102,92,193
102,87,192
102,87,191
102,91,187
101,89,186
101,91,187
101,88,185
102,90,186
102,90,185
101,88,186
100,88,192
100,87,200
101,85,200
102,86,198
104,89,194
105,90,190
102,89,190
103,89,194
102,87,197
104,91,205
106,93,210
110,100,207
120,120,197
131,137,192
132,134,184
129,128,174
142,138,179
156,155,191
155,153,185
156,153,188
152,153,193
146,154,217
141,149,233
140,145,224
140,145,219
143,148,217
144,151,214
146,155,215
148,156,217
147,153,214
147,157,212
153,166,216
164,181,222
171,188,225
176,186,222
171,177,208
149,156,182
136,139,160
132,126,155
137,138,170
138,141,176
139,143,179
141,148,186
147,150,188
133,133,171
119,120,158
122,119,153
127,121,148
133,132,155
152,155,177
150,160,177
139,139,167
140,136,169
145,148,174
141,144,166
134,135,156
131,132,154
136,140,163
141,149,179
142,149,180
138,143,165
128,125,154
131,131,159
128,127,158
124,121,152
127,126,150
142,147,167
150,154,177
156,157,186
145,148,184
